id,rimflow_item_id,prompt,canvas_w,canvas_h,reference,facings,style_notes,priority,background,channel,drawsize
webwork_kessaroth,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the kessaroth, a low snap-trap plant that is mostly mouth -- two ribbed, in-curved jaw-leaves held sprung open at knee height, dull green outside, bone-pale within. Shown sprung open and ready, a trap honestly declared. Painterly rendered game art with real volume and a wet inner-jaw sheen against a duller ribbed outer leaf, not a flat cartoon outline. No Earth-nameable silhouette -- not a Venus flytrap, not a pitcher plant, not a bear trap prop; keep the jaw-leaf shape alien rather than a recognisable Earth carnivorous plant.",256,256,,,"MUST SHOW: two ribbed in-curved jaw-leaves held sprung OPEN at knee height, dull green outside / bone-pale inside. HARD BAN: no Venus-flytrap/pitcher-plant/bear-trap-prop silhouette.",100,transparent,codex,0.6
webwork_norrveth,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the norrveth, a bare leafless dark wand standing chest-high, ringed at intervals with collars of translucent glassy needle-spikes, some collars spent and bare showing a history written on the stem. Painterly rendered game art with real volume and a glassy translucent-spike sheen against a dark bare stem, not a flat cartoon outline. No Earth-nameable silhouette -- not a cactus, not a horsetail reed, not a sea urchin on a stick; keep the spike-collar form alien rather than a recognisable Earth spined plant.",256,256,,,"MUST SHOW: bare dark leafless wand, ringed collars of translucent glassy needle-spikes at intervals, some spent/bare collars visible. HARD BAN: no cactus/horsetail/sea-urchin silhouette.",100,transparent,codex,1.0
webwork_sorrivel,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the sorrivel, a single heavy wine-dark bell-flower, wet-glistening, bowed on a bent stalk to head height, dripping a visible syrup bead -- it must read as genuinely beautiful and inviting, an attractive lure. Painterly rendered game art with real volume, a glossy wet-syrup highlight and rich saturated wine-dark colour, not a flat cartoon outline. No Earth-nameable silhouette -- not a foxglove, not a pitcher plant, not a poppy; keep the bell-flower shape alien rather than a recognisable Earth bloom.",256,256,,,"MUST SHOW: single heavy wine-dark bell-flower, bowed stalk, glistening syrup drip -- must read as ATTRACTIVE/inviting (it is bait; do not make it look sinister). HARD BAN: no foxglove/pitcher-plant/poppy silhouette.",100,transparent,codex,0.8
webwork_pellareth,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the pellareth, a tall bone-white bloom cluster on grey stalks, faintly luminous in the gloom, fresh and vivid -- shown here in its FRESH active state (a withered grey-papery variant is a separate sprite). Growing in a cluster that traces a line rather than scattered randomly. Painterly rendered game art with real volume and a soft bioluminescent glow on the bone-white petals, not a flat cartoon outline. No Earth-nameable silhouette -- not a lily, not baby's breath, not cow parsley; keep the bloom cluster shape alien rather than a recognisable Earth white flower.",256,256,,,"MUST SHOW: tall bone-white bloom cluster, faint luminous glow, FRESH/vivid state (fresh vs withered is a navigation signal -- this row is fresh). HARD BAN: no lily/baby's-breath/cow-parsley silhouette.",100,transparent,codex,1.2
webwork_ruddreth,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the ruddreth, a squat rust-red rosette of blooms -- the only warm colour in the biome's palette -- growing low on darkened, grease-stained ground. Painterly rendered game art with real volume and a saturated rust-red petal highlight against dark foul soil, not a flat cartoon outline. No Earth-nameable silhouette -- not a red poppy, not a geranium, not a sedum rosette; keep the rosette shape alien rather than a recognisable Earth red flower.",256,256,,,"MUST SHOW: squat rust-red rosette (the biome's only warm colour), growing on visibly darkened/grease-stained ground. HARD BAN: no poppy/geranium/sedum-rosette silhouette.",100,transparent,codex,0.6
webwork_fellome,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the fellome, strings of fat plump bone-white pods hanging from a modest scrambling vine, dusty with sticky pale pollen, heaviest and most plentiful-looking along its length -- it must read as abundant, easy free food. Painterly rendered game art with real volume and a soft pollen-dusted matte sheen on the pods, not a flat cartoon outline. No Earth-nameable silhouette -- not a bean vine, not a pea pod plant, not wisteria; keep the pod-string shape alien rather than a recognisable Earth legume vine.",256,256,,,"MUST SHOW: strings of plump bone-white pods on a scrambling vine, dusty pollen coating -- must read as ABUNDANT/free food. HARD BAN: no bean-vine/pea-pod/wisteria silhouette.",100,transparent,codex,1.0
webwork_grennick,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite/groundcover: the grennick, a dense dark-green advancing turf with one abrupt hard leading EDGE -- a clean visible line of new green turf meeting burned or open ground, like a tide-line frozen mid-advance. Painterly rendered game art with real volume and a dense turf texture with a crisp contrasting edge line, not a flat cartoon outline. No Earth-nameable silhouette -- not kudzu, not Bermuda grass, not moss; keep the advancing-edge turf form alien rather than a recognisable Earth groundcover.",256,256,,,"MUST SHOW: dense dark green turf with ONE hard, clean, visible advancing edge/line against bare ground. HARD BAN: no kudzu/Bermuda-grass/moss silhouette.",100,transparent,codex,0.5
webwork_brennoth,WEBWORK_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: the brennoth, a knotted waist-high dry scrub, varnish-shiny with dried resin, carrying dead grey wood mixed among live growth -- it must look flammable, like kindling. Painterly rendered game art with real volume and a resin-varnish specular sheen against dry grey dead-wood texture, not a flat cartoon outline. No Earth-nameable silhouette -- not sagebrush, not dead heather, not tumbleweed; keep the knotted scrub form alien rather than a recognisable Earth dryland shrub.",256,256,,,"MUST SHOW: knotted waist-high scrub, resin-varnish shine, visible mix of dead grey wood and live growth -- must read as flammable/tinder. HARD BAN: no sagebrush/dead-heather/tumbleweed silhouette.",100,transparent,codex,1.0
webwork_anchor,WEBWORK_WEB_STRUCTURES_1,"RimWorld top-down game structure sprite: a web anchor line, a thick catenary of pale dead-silk-cream silk spun taut between two fixed points and hardened until it reads as architecture rather than loose silk -- rope-thick, taut, with visible woven-fiber texture. Reads as load-bearing web infrastructure, not decoration. Painterly rendered game art with real volume and a taut-fiber specular sheen, not a flat cartoon outline. No Earth-nameable silhouette -- not a rope bridge, not a clothesline, not a spider-web Halloween decoration; keep the taut hardened-silk architecture alien and structural.",256,256,,,"MUST SHOW: thick taut catenary silk line, hardened/architectural (not loose cobweb), pale dead-silk-cream colour. Replaces the current retinted-Hive placeholder texture. HARD BAN: no rope-bridge/clothesline/Halloween-cobweb look.",100,transparent,codex,1.0
webwork_web,WEBWORK_WEB_STRUCTURES_1,"RimWorld top-down game structure sprite: a sheet web, a broad taut plane of pale silk strung between trunks, thick and dense enough to blot out light passing through it, woven in a tight structural pattern rather than a loose cobweb. Painterly rendered game art with real volume, layered silk-sheet translucency and a soft woven-fiber highlight, not a flat cartoon outline. No Earth-nameable silhouette -- not a Halloween spider-web decoration, not a fishing net, not a hammock; keep the dense woven sheet alien and architectural, reading as a solid plane rather than a decorative lattice.",256,256,,,"MUST SHOW: broad dense taut sheet of pale silk between anchor points, opaque/light-blotting (not a wispy lattice), tight structural weave. Replaces the current retinted-Hive placeholder texture. HARD BAN: no Halloween-cobweb/fishing-net/hammock look.",100,transparent,codex,1.2
webwork_gutter,WEBWORK_WEB_STRUCTURES_1,"RimWorld top-down game structure sprite: a silk irrigation gutter, a woven channel of dense pale silk carrying water along its length -- a visible trough/channel shape rather than a flat web, running as a directional line. Painterly rendered game art with real volume, a woven-channel texture and a faint wet sheen along the trough, not a flat cartoon outline. No Earth-nameable silhouette -- not a garden hose, not a rain gutter pipe, not a woven basket; keep the silk-channel form alien and structural, reading as plumbing woven from web.",256,256,,,"MUST SHOW: woven silk TROUGH/channel shape (directional, plumbing-like, not flat web), faint wet sheen. Replaces the current retinted-Hive placeholder texture. HARD BAN: no garden-hose/rain-gutter-pipe/woven-basket look.",100,transparent,codex,1.0
