id,rimflow_item_id,prompt,canvas_w,canvas_h,reference,facings,style_notes,priority,background,channel
miasma_aphreen,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: aphreen, an upright bushy plant of narrow leaves in tight whorls, mature growth plain dusty green, every new growing tip flushed hot pink-red and covered in fine pale fur as if inflamed, the flush fading as each leaf matures so one plant shows the whole progression at once.",170,170,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: dusty green whorled bush with every growing TIP flushed pink-red and furred -- the purest 'sick looking but healthy' statement in the roster, most common plant in the biome.",110,transparent,codex
miasma_nyssolet,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: nyssolet, concentric rings of glossy blue-green spheres, each ring smaller than the last, closing on a centre of gold and violet filaments -- reads as a growth or a cluster of eggs, not a flower shape at all. Beads semi-translucent with darker fluid visible inside.",140,140,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: nested concentric rings of glossy beads (NOT petals), gold-violet filament centre, semi-translucent beads with visible internal fluid. Must not read as a flower.",110,transparent,codex
miasma_sarrash,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: sarrash, dense soft upright plumes of fine filaments in flame-orange and hot magenta, held in a group with the centre plume tallest so the outline is a ragged crest, filaments damp and slightly clumped, plume bases browned and spent.",160,160,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: upright feather-crest plumes, flame-orange and magenta colour, ragged crest outline with tallest plume centred, browned spent bases.",110,transparent,codex
miasma_ullavess,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: ullavess, a group of tall tapering vessels standing mouth-up in a loose cluster, each half-full of clear fluid visible inside, outer wall veined maroon over yellow-green, rim a hard iridescent lip, inside wall glassy and slick, spent vessels below brown and collapsed. A visibly predatory pitcher-plant mechanism, honestly shown -- not disguised as safe.",170,170,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: upright open-mouthed vessels holding visible clear fluid, iridescent rim, maroon-over-yellow-green veining. Reads clearly as a predator, unlike the rainbow blooms.",110,transparent,codex
miasma_nemreth,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: nemreth, a low flat mat of hair-fine red stalks each ending in a clear glistening bead that holds the light like dew and never dries, the whole mat glittering from a distance, older stalks curled inward around a caught prey item.",130,130,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: flat mat of bead-tipped fine red stalks, glistening never-dry beads, a sundew-style adhesive-trap mechanism, honestly predatory.",110,transparent,codex
miasma_velluric,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: velluric, seen from above a shallow channel -- one small pale unremarkable flower on a thin stalk above the waterline, with a faint hint of a drifting bladder-mass just barely visible beneath the water's surface, water very slightly clearer immediately around the plant.",140,140,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: one small plain pale flower above water, water around it reading subtly clearer/more transparent than surrounding water -- the trap is hidden underwater, only the water clarity should hint at danger.",110,transparent,codex
miasma_braskeen_open,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: braskeen, a flat whorl floating on the water surface, each arm ending in a pair of hinged blades held OPEN, fringed with stiff interlocking teeth, blade interiors raw wet pink, waiting.",140,140,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: floating whorl of paired hinged blades held OPEN, interlocking teeth fringe, wet pink interior. Part of a matched open/closed pair with miasma_braskeen_closed -- identical whorl layout, only blade state differs.",110,transparent,codex
miasma_braskeen_closed,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: braskeen, a flat whorl floating on the water surface, same layout as the open form, but each arm's hinged blade pair is now snapped CLOSED, a caught scuttler's outline just visible between the interlocking teeth.",140,140,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: same floating whorl layout as the open variant, but blades CLOSED with a catch showing between the teeth. Part of a matched open/closed pair with miasma_braskeen_open.",110,transparent,codex
miasma_ommolyn,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: ommolyn, above the mud a single modest cream flower on a short stalk with a few limp surface leaves -- nothing about the surface suggests anything unusual, deliberately plain and innocent-looking.",128,128,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: one small, deliberately unremarkable cream flower over bare mud, a few limp leaves -- must look like an ordinary harmless flower, since the trap is entirely invisible underground.",110,transparent,codex
miasma_immarel,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: immarel, a tight stand of hollow jointed reeds all leaning downstream together, stems banded olive and rust with a greasy iridescent film where they leave the water, tops bearing a spent brown tassel, black slick mud visible at the base.",170,170,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: jointed reeds all leaning one direction (current), olive-and-rust banding, greasy iridescent sheen at the waterline, black slick mud.",110,transparent,codex
miasma_thrannock,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: thrannock, almost no foliage -- a sprawling tangle of stiff coarse aerial roots like a thrown net, hung visibly with debris (rags, shell fragments, splintered wood, bleached plastic scraps), the living root beneath dull purple-brown.",190,190,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: coarse rope-like aerial root tangle reading as a thrown net, visibly hung with assorted flotsam debris, dull purple-brown root colour underneath.",110,transparent,codex
miasma_pallasheen,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: pallasheen, one single broad thin leaf pressed completely flat to the ground, almost translucent so the soil colour shows through it, edged in a fine pink line, never standing up or clumping.",128,128,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: one broad flat leaf pressed to the ground, near-translucent with soil visible through it, fine pink edge line. Must read as a stain on the ground, not a standing plant.",110,transparent,codex
miasma_wessaline,MIASMA_FLORA_ROSTER_1,"RimWorld top-down game plant sprite: wessaline, a continuous white-and-grey brittle crust lying over a bare salt pan, crazed into cracked plates that lift slightly at the edges, a faint green bloom visible only in the fissures between plates, barely reading as living.",200,200,,,"Roster-wide law: strangely beautiful but also a little sick looking -- a flush, a crust, a weep or a blotch, and beautiful because of it, not despite it. No Earth-nameable plant name anywhere. MUST SHOW: unbroken crazed white-grey crust over bare ground, cracked plate pattern, only a faint green bloom in the cracks hints it is alive. Must read as dried mud/salt pan, never as a trap or hazard.",110,transparent,codex
