sheet,temp,physics,weather,precipitation,dust_ash,fuel,wood,plant_growth,animals,food,behavior_law,disease_clock
the_greentide,"arc 28-54; 44.8C","max sun × river; inversion lid","Roil; steam devils; Breaklight","canopy underlight drip","NONE","sap→chemfuel economy","greenwood+hardwood+Greatboles","visible growth daily","3.5 'highest donor' (false)","abundant beyond dreams","NO truce free-for-all","50d ('sickest' claim false)"
the_webwork,"arc 21-54; 47.4C; rain bimodal 0/1529","drunk river × engineer species × UV","none stated (GAP)","73 tiles storm-fed; 99 zero","NONE","still-burner tree liquors","nest-trees only","explosive self-consuming","eaten-empty (5.4 inverted)","forage 1.0 (tension)","OCCUPIED; prey in a ledger","35d ('sickest' claim false; no mechanism)"
the_scarlands,"arc 11-22; 59.4C","war anomaly; self-replenishing toxins","ToxRain; Gray Pall","ToxRain mechanism unstated","Cathedral halo spills in","Glower radiogenic","NONE","crusts thicken over centuries","mad plated grazers; mynocks","NONE","Sentinels defend-only","scaria 0.5; no MTB recorded"
the_rust_cathedral,"arc 5-17; 62.5C","artifact plateau; no erosion","heat shimmer only","~zero (max 20mm unexplained)","rust-dust drifts; dayside drain sink","NONE","NONE","zero flora","eels bolts mynocks","NONE","manners not walls","strays only"
the_miasma,"arc 24-66; 42.8C (geometry vs θ92 sea flagged)","brine surge × refugee delta","miasma haze; surge","none ever; river+sea fed","NONE","NONE (attar non-fuel)","flotsam driftwood","unstated","6.5 HIGHEST (true crown)","arthropod floor","crowding=flight","15d SICKEST (true crown)"
the_fever_wood,"arc 42-53; 45.7C","water table × stabilizing giants","NO WEATHER SECTION","none; from below","NONE","seep-oils (boundary to tar unwritten)","bog-timber","boughway drift (off-label engine)","2.3 crown life; ground empty","thornbug nectar","stillness enforced","SILENT (name undefined!)"
the_sump,"arc 85-105; +4.7C; sun -6.6","Pyrelands tar drained × cold lid","NO WEATHER SECTION","none; tar by drainage","lit-tar smoke","tar+bitumen+wick-plants","NONE","chemotroph edge; rate unstated","sparse-but-strange","wax/honey marginal","mice-lines; wake-by-cause","SILENT"
the_pyrelands,"arc 17-57; 53.6C","fire-storm loop × engineered quickgrass","dry thunderstorms; BlackRain","BlackRain (ruled; R-H4 unamended)","ash source planet-scale; tar sink","standing biomass","NONE","freakish flagship; days","herds: 3 families + hawks","richest grazing (vs scarcity premise)","fire owns the deed","SILENT"
the_forge,"arc 26-39; 42-56C at altitude","claimed sole volcanism × closed rain","boiling rain; steam banners","self-condensed vent steam","ash aprons; corpse-ring","free geothermal; tibanna","NONE","flash-interval flora","sky herds; ground few","NONE (fireweed=gear)","flash-interval or sky","SILENT"
the_scald,"arc 0-30; air +58..+70","volcanic crater sea distillery (outflow CONTESTED vs one_map)","steam; geysers implied","none on it; makes peaks rain","NONE","NONE","NONE","thermophile mats; rate unstated","submerged herds shoals sailors","silver harvest","no macro-life in boil","fouled not toxic; no clock"
the_grey_deep,"under θ92 sea","saturation brine pools × statuary","n/a underwater","mineral precipitation","n/a","NONE","NONE","mason pillars slow","three residents capped","soluble minerals","inherited solitary; pools kill","no rot on statuary"
the_twilight_deep,"under θ91 sea","mat-roof shelter × crowding exception","n/a underwater","mat-detritus rain","n/a","NONE","kelp lattice-timber","kelp unstated","ruled crowding; generous","only ordinary fishing","crowds below roof ONLY","SILENT"
