action,source,destination,tier,new_packageId,fate,confidence,note
merge-into,RimStarWars/SeaBeasts,RimStarWars/SWBestiary,RimStarWars,mandrake.rsw.swbestiary,,HIGH,36 defs 18 sea creatures; pure fauna content; Odyssey dep moves to merged About
merge-into,RimStarWars/Livestock,RimStarWars/SWBestiary,RimStarWars,mandrake.rsw.swbestiary,,HIGH,Cindermare/Skarnix predators; fauna content (has small C# — assembly folds)
merge-into,RimStarWars/HelixTellurox,RimStarWars/SWBestiary,RimStarWars,mandrake.rsw.swbestiary,,HIGH,3 defs livestock creature; fauna content
merge-into,RimStarWars/JawaIkee,RimStarWars/SWBestiary,RimStarWars,mandrake.rsw.swbestiary,,MEDIUM,1 ThoughtDef + C#; deps starwarsraces + sarg.alphaanimals move to merged About
merge-into,RimStarWars/BeastNorm,RimStarWars/SWBestiary,RimStarWars,mandrake.rsw.swbestiary,,MEDIUM,patches mlie donor's 105 beasts; retargets/bakes into our defs when MLIE_FAUNA_ABSORPTION_1 lands
stay,RimStarWars/SeasWaterline,,RimStarWars,,,VERIFY,R14 RULED: retirement NOT approved — stays pending; 0-def program lane, revisit when the seas program lands
stay,RimStarWars/Cuisine,,RimStarWars,,,HIGH,food cell RSW; only food mod
stay,RimStarWars/Droidworks,,RimStarWars,,,HIGH,droids cell RSW; campaign layer already externalized by design (no defaultFactionDef — comments prove the boundary)
merge-into,RimStarWars/FireEcology,RimMandrake/Pyrelands,RimMandrake,mandrake.rm.pyrelands,,HIGH,R9 RULED: Pyrelands ships as self-contained generic RM biome — engine + biome content together
stay,RimStarWars/JawaRules,,RimStarWars,,,HIGH,species-rule mechanic per naming plan §7.3 evidence ruling
stay,RimStarWars/JawaVoice,,RimStarWars,,,HIGH,R13 RULED: stays whole at RSW; the naming plan's 6-file extraction claim did not reproduce; Ideology.xml line-read row below
stay,RimStarWars/StarWarsRaces,,RimStarWars,,,HIGH,races cell RSW; gains SovSith genes/headtypes from Armoury
merge-into,RimStarWars/BeastLairs,RimStarWars/StructureInjectionsSW,RimStarWars,mandrake.rsw.injections,,HIGH,1 scenery ThingDef; structures cell RSW
stay,RimStarWars/StructureInjectionsSW,,RimStarWars,,,HIGH,structures cell RSW (ruling 1 exemplar)
merge-into,RimStarWars/WeatherSuite,RimMandrake/WeatherSuite,RimMandrake,mandrake.rm.weathersuite,,HIGH,R9 RULED: promotes to RM self-contained (engine + generic tidally-locked content); AshkarrWeatherSuite stays the RUT wiring
stay,RimStarWars/StarWarsPatches,,RimStarWars,,,HIGH,RSW patches cell; destination for 2 fix folds + 28 RSW Jawa_Patches files
merge-into,RimStarWars/BlastDoorFrameAsyncFix,RimStarWars/StarWarsPatches,RimStarWars,mandrake.rsw.patches,folds-into-patches,MEDIUM,donor Lumi.doorsexpanded (SW ed.) active with no retirement item; 6 textures
merge-into,RimStarWars/CereanManeFix,RimStarWars/StarWarsPatches,RimStarWars,mandrake.rsw.patches,folds-into-patches,MEDIUM,donor OuterRim GalacticDiversity NOT on sunset list; would die later if it retires
stay,RimStarWars/KotORBandolierNorthFix,,RimStarWars,,dies-with-donor,HIGH,donor guy762.mm.kotorcore; retirement owned by WEAPONS_DONOR_RETIREMENT_1 + ARMOURY_SWMODS_DONOR_GAP_1
stay,RimStarWars/MSEDroidFix,,RimStarWars,,dies-with-donor,HIGH,donor neronix17.outerrim.droiddepot; STARWARS_DONOR_SUNSET_1 wave 3 / DROID_SYSTEM_BUILD_1
stay,RimUtinni/AftermathRites,,RimUtinni,mandrake.rut.chroniclerites,,HIGH,R5 RULED: renames ChronicleRites (name RATIFIED) — RimChronicle's RUT data pack; a spine-spec consumer per CHRONICLE_EVENT_SPINE_1
stay,RimUtinni/Antiquities,,RimUtinni,,,HIGH,mechanic (urn research system); Rites' dep survives its move to Salvation
stay,RimUtinni/AshkarrFlora,,RimUtinni,,,HIGH,plants cell RUT; grows as owned tree art lands
stay,RimUtinni/AshkarrInhabited,,RimUtinni,,,HIGH,ruling 8: keeps its name; Inhabited campaign layer
stay,RimUtinni/AshkarrLandmarkArt,,RimUtinni,,,HIGH,R10 RULED: stays RUT separate; Salvation inherits IshkoDarkLandmarks' MayRequire on it — rewrite check
stay,RimUtinni/AshkarrWeatherSuite,,RimUtinni,,,HIGH,R9: stays RUT (uniquely-Ashkarr wiring); its MayRequire re-points to mandrake.rm.weathersuite
stay,RimUtinni/Doctrine,,RimUtinni,,,HIGH,R2 RULED: stays separate — campaign doctrine layer
split,RimUtinni/EmpirePursuit/[pursuit-engine C#],RimMandrake/RimPursuit,RimMandrake,mandrake.rm.pursuit,,MEDIUM,R3 RULED: generic pursuer engine promotes RUT->RM into RimPursuit
split,RimUtinni/EmpirePursuit/[Empire triggers + ScenPartDef],RimUtinni/EmpirePursuit,RimUtinni,,,MEDIUM,R3 RULED: Empire-specific triggers stay behind as the RUT data pack (keeps mandrake.rut.empirepursuit)
merge-into,RimUtinni/FactionSlate,RimUtinni/UtinniPatches,RimUtinni,mandrake.rut.patches,,VERIFY,0 defs no C# yet restricts a UI page — read its mechanism before moving anything
merge-into,RimUtinni/IshkoDarkLandmarks,RimUtinni/Salvation,RimUtinni,mandrake.rut.salvation,,HIGH,R8 RULED: Salvation = nine mark-styles + IshkoDarkLandmarks + Rites
merge-into,RimUtinni/Rites,RimUtinni/Salvation,RimUtinni,mandrake.rut.salvation,,HIGH,R8 RULED: in Salvation; keeps dep on Antiquities
stay,RimUtinni/LanternDeeps,,RimUtinni,,,HIGH,mechanic (persistent cave layer)
stay,RimUtinni/LongHunger,,RimUtinni,,,HIGH,fauna cell RUT; creature + mythos; Anomaly dep
merge-into,RimUtinni/UtinniShell,RimUtinni/MenuShell,RimUtinni,mandrake.rut.menushell,,HIGH,R10 RULED: UI merge confirmed; stays RUT
stay,RimUtinni/MenuShell,,RimUtinni,,,HIGH,RUT UI cell destination
stay,RimUtinni/PawnFlavor,,RimUtinni,,,HIGH,faction-content cell RUT (90 backstory/trait defs)
stay,RimUtinni/PlantGrowth,,RimUtinni,,,HIGH,mechanic (Harmony growth multiplier); naming plan VERIFY resolved by C# nature — stays
split,RimUtinni/PyrelandsFireEcology/[generic biome wiring],RimMandrake/Pyrelands,RimMandrake,mandrake.rm.pyrelands,,VERIFY,R9: generic wiring joins the RM biome; zylle.morevanillabiomes donor-biome dep must be resolved (own the BiomeDef or keep the dep?)
split,RimUtinni/PyrelandsFireEcology/[uniquely-Ashkarr content],RimUtinni/UtinniPatches,RimUtinni,mandrake.rut.patches,,VERIFY,R9: uniquely-Ashkarr residue folds into UtinniPatches; PyrelandsFireEcology folder dies
stay,RimUtinni/ResearchRetag,,RimUtinni,,,HIGH,mechanic off frozen manifest; MayRequire rewrite needed when IonWeapons merges into Armoury
stay,RimUtinni/RestrainingBolts,,RimUtinni,,,HIGH,mechanic (goodwill cap)
split,RimUtinni/RiverSteam/[steam fleck effect C#],RimMandrake/ManyWaters,RimMandrake,mandrake.rm.manywaters,,MEDIUM,R10 RULED: ManyWaters (RM NEW) gathers all water effects/types (steaming/boiling/...); RiverSteam effect generalizes in
split,RimUtinni/RiverSteam/[Ashkarr river wiring],RimUtinni/UtinniPatches,RimUtinni,mandrake.rut.patches,,VERIFY,R10: Ashkarr wiring stays RUT — judgment call: folded into UtinniPatches so the RiverSteam folder dies; keep separate if owner prefers
stay,RimUtinni/ShipMemory,,RimUtinni,,,HIGH,mechanic (Anomaly route unlock); distinct from Antiquities
merge-into,RimUtinni/DesertFixtures,RimUtinni/StructureInjectionsRUT,RimUtinni,mandrake.rut.injections,,HIGH,1 buildable ThingDef; SIRUT already depends on it — merge removes a MayRequire
merge-into,RimUtinni/VaultDungeons,RimUtinni/StructureInjectionsRUT,RimUtinni,mandrake.rut.injections,,MEDIUM,46 KCSG layout defs = structures-domain content; VFE Core dep moves to merged About
stay,RimUtinni/StructureInjectionsRUT,,RimUtinni,,,HIGH,structures cell RUT (ruling 1 exemplar)
stay,RimUtinni/UtinniPatches,,RimUtinni,,,HIGH,RUT patches cell; destination for 57 RUT Jawa_Patches files + FactionSlate
stay,RimUtinni/BirthHatchDemo,,RimUtinni,,,VERIFY,R14 RULED: stays — gated on EGG_PROXIMITY_HATCH_TRIGGER_1 (new item); not campaign content
retire,SPLIT_Phase3/Jawa_Patches,,,,,HIGH,tombstone only — 3-way split ALREADY EXECUTED (2385af29 2026-09-04; 0 XML left); remove folder + resolve naming_rename_map SPLIT row
extract,RimUtinni/UtinniPatches/Defs/PawnKindDefs/JawaFactionRoster.xml,RimUtinni/UtinniPatches,RimUtinni,,,VERIFY,already in UtinniPatches; Jawa_Droid_* kinds still mix RSW droid mechanics with FDE faction — Droidworks-boundary call stands
stay,RimStarWars/JawaVoice/Patches/JawaVoice_animals.xml,,RimStarWars,,,HIGH,generic Jawaese lines; no campaign markers
stay,RimStarWars/JawaVoice/Patches/JawaVoice_chitchat_jokes.xml,,RimStarWars,,,HIGH,generic; Thrumb-bros is Jawaese slang not a god
stay,RimStarWars/JawaVoice/Patches/JawaVoice_chitchat_thoughts.xml,,RimStarWars,,,HIGH,generic Jawaese lines
stay,RimStarWars/JawaVoice/Patches/JawaVoice_chitchat_weather.xml,,RimStarWars,,,HIGH,generic Jawaese lines
stay,RimStarWars/JawaVoice/Patches/JawaVoice_CoreInteractions.xml,,RimStarWars,,,MEDIUM,Utinni!/Thrumb lines are canon Jawaese; no god/ship/clan names found by skim
stay,RimStarWars/JawaVoice/Patches/JawaVoice_deeptalk.xml,,RimStarWars,,,MEDIUM,no god/ship/campaign vocabulary found by skim
stay,RimStarWars/JawaVoice/Patches/JawaVoice_Ideology.xml,,RimStarWars,,,VERIFY,likeliest RUT-extraction candidate (ideoligion interactions) yet NO Ishko/Nine/ship refs greppable — read lines fully in sprint
stay,RimStarWars/JawaVoice/Patches/JawaVoice_Insults.xml,,RimStarWars,,,MEDIUM,Utinni hits are the canon exclamation not the campaign name
stay,RimStarWars/JawaVoice/Patches/JawaVoice_Interactions.xml,,RimStarWars,,,MEDIUM,same — canon Jawaese only
stay,RimStarWars/JawaVoice/Patches/JawaVoice_prisoners.xml,,RimStarWars,,,HIGH,generic Jawaese lines
stay,RimStarWars/JawaVoice/Patches/JawaVoice_romance.xml,,RimStarWars,,,HIGH,generic Jawaese lines
